    cli,Bubble,Shell,Insertion,Selection,Quick
jv,102,3,28,46,2
jv,95,3,27,45,2
jv,98,3,28,46,3
jv,97,3,30,47,2
jv,98,3,30,46,3
jv,100,3,29,45,2
jv,94,3,29,46,2
jv,98,3,32,51,3
jv,95,3,50,46,3
jv,101,3,45,46,3
jv,93,3,28,46,2
jv,94,3,29,46,2
jv,95,3,30,49,2
jv,101,3,38,48,2
jv,117,3,44,47,3
jv,90,3,34,46,2
jv,102,3,30,49,2
jv,96,3,34,51,3
jv,99,3,37,53,3
jv,95,3,30,49,2
jv,102,3,29,47,2
jv,99,3,29,47,2
jv,103,3,28,47,2
jv,99,3,29,48,3
jv,115,3,30,49,2
jv,97,14,28,47,2
jv,105,3,30,48,2
jv,107,3,31,48,3
jv,102,3,31,49,2
jv,100,3,29,49,3
jv,101,3,33,48,2
jv,93,3,29,48,3
jv,122,3,48,47,2
jv,96,3,30,48,3
jv,96,3,31,49,3
jv,101,3,34,50,2
